,Open,High,Low,Close,Adj Close,Volume,Date,stock_name
0,38.0,43.0,38.0,42.0,41.759678,129900.0,2022-01-19,CEG
1,40.950001,48.369999,40.950001,45.0,44.742512,153400.0,2022-01-20,CEG
2,43.0,49.950001,42.950001,45.0,44.742512,329500.0,2022-01-21,CEG
3,44.919998,45.0,41.880001,42.799999,42.555103,110000.0,2022-01-24,CEG
4,42.5,44.919998,41.330002,41.897999,41.65826,23500.0,2022-01-25,CEG
5,45.009998,45.060001,42.25,43.220001,42.972698,90500.0,2022-01-26,CEG
6,47.259998,49.619999,43.75,45.759998,45.498165,151600.0,2022-01-27,CEG
7,44.549999,47.599998,44.150002,46.75,46.482502,43600.0,2022-01-28,CEG
8,46.0,48.0,46.0,48.0,47.725346,71300.0,2022-01-31,CEG
9,47.5,50.0,47.049999,49.779999,49.495163,298800.0,2022-02-01,CEG
10,50.035,56.23,49.799999,53.009998,52.70668,23860900.0,2022-02-02,CEG
11,52.189999,56.57,50.299999,53.619999,53.31319,8425500.0,2022-02-03,CEG
12,52.599998,54.330002,50.119999,50.139999,49.853104,6757800.0,2022-02-04,CEG
13,50.0,50.040001,46.0,46.07,45.806389,9432500.0,2022-02-07,CEG
14,45.130001,47.560001,44.169998,45.5,45.239651,7277500.0,2022-02-08,CEG
15,44.75,47.450001,43.880001,47.310001,47.039295,4393100.0,2022-02-09,CEG
16,45.509998,48.5,45.380001,47.049999,46.780785,2450000.0,2022-02-10,CEG
17,46.759998,48.91,46.060001,48.09,47.814835,3456800.0,2022-02-11,CEG
18,48.189999,49.0,46.990002,48.110001,47.834721,2155000.0,2022-02-14,CEG
19,47.700001,48.450001,47.200001,48.0,47.725346,2359800.0,2022-02-15,CEG
20,47.720001,48.470001,46.950001,47.200001,46.929924,5855300.0,2022-02-16,CEG
21,46.32,47.080002,45.189999,45.290001,45.030857,3142600.0,2022-02-17,CEG
22,45.150002,45.900002,44.799999,45.41,45.150166,2018700.0,2022-02-18,CEG
23,45.41,45.68,43.490002,43.540001,43.290867,2611100.0,2022-02-22,CEG
24,43.689999,43.990002,42.18,43.09,42.843441,2791200.0,2022-02-23,CEG
25,43.150002,44.59,42.220001,44.32,44.211071,2447900.0,2022-02-24,CEG
26,44.299999,44.93,43.740002,43.91,43.802082,2040700.0,2022-02-25,CEG
27,43.299999,46.619999,42.459999,45.98,45.866993,5534900.0,2022-02-28,CEG
28,45.619999,48.049999,45.349998,47.790001,47.672546,4212900.0,2022-03-01,CEG
29,48.0,50.299999,47.330002,49.459999,49.33844,3517100.0,2022-03-02,CEG
30,49.82,50.330002,47.547001,49.52,49.398293,2072200.0,2022-03-03,CEG
31,49.169998,51.040001,48.25,51.0,50.874657,2544600.0,2022-03-04,CEG
32,51.060001,52.580002,49.869999,51.650002,51.52306,2726900.0,2022-03-07,CEG
33,51.18,55.32,50.849998,52.32,52.19141,3873700.0,2022-03-08,CEG
