,Open,High,Low,Close,Adj Close,Volume,Date,stock_name
0,138.509995,138.740005,134.020004,134.869995,133.837601,5956800.0,2021-07-07,AMAT
1,131.639999,134.389999,129.720001,132.529999,131.515533,7770900.0,2021-07-08,AMAT
2,133.419998,135.380005,132.089996,134.899994,133.867386,5762900.0,2021-07-09,AMAT
3,135.990005,137.029999,134.669998,136.800003,135.752869,5459600.0,2021-07-12,AMAT
4,136.0,136.970001,134.75,136.289993,135.24675,4950600.0,2021-07-13,AMAT
5,138.190002,139.880005,135.410004,135.649994,134.611633,5982300.0,2021-07-14,AMAT
6,134.979996,135.929993,131.600006,133.199997,132.180389,7057900.0,2021-07-15,AMAT
7,134.0,134.589996,127.919998,128.179993,127.198822,8190600.0,2021-07-16,AMAT
8,125.190002,128.720001,123.879997,128.619995,127.635452,8934000.0,2021-07-19,AMAT
9,129.199997,133.119995,127.800003,131.970001,130.959824,7417600.0,2021-07-20,AMAT
10,132.820007,138.270004,132.529999,138.0,136.943665,6434100.0,2021-07-21,AMAT
11,137.0,138.75,136.369995,137.179993,136.129929,5564000.0,2021-07-22,AMAT
12,137.949997,139.0,136.529999,138.429993,137.370346,4345600.0,2021-07-23,AMAT
13,138.229996,139.880005,137.440002,138.479996,137.419952,4638200.0,2021-07-26,AMAT
14,137.630005,137.630005,131.580002,134.899994,133.867386,6344100.0,2021-07-27,AMAT
15,135.630005,137.880005,135.0,137.210007,136.159698,5041900.0,2021-07-28,AMAT
16,135.410004,137.860001,133.509995,137.5,136.447479,5382600.0,2021-07-29,AMAT
17,136.5,141.399994,136.470001,139.929993,138.858871,8556400.0,2021-07-30,AMAT
18,141.039993,145.25,140.889999,142.009995,140.922943,10230600.0,2021-08-02,AMAT
19,142.539993,143.360001,140.240005,142.160004,141.071808,5589600.0,2021-08-03,AMAT
20,143.0,144.699997,141.809998,142.759995,141.667221,5434600.0,2021-08-04,AMAT
21,143.429993,143.880005,141.160004,142.270004,141.180969,4282200.0,2021-08-05,AMAT
22,141.720001,143.160004,141.589996,142.649994,141.55806,3843300.0,2021-08-06,AMAT
23,143.490005,143.690002,141.449997,142.0,140.91304,4026600.0,2021-08-09,AMAT
24,142.910004,143.0,135.300003,138.059998,137.003189,6403900.0,2021-08-10,AMAT
25,138.509995,138.589996,132.600006,134.820007,133.787994,9630600.0,2021-08-11,AMAT
26,132.0,132.020004,127.690002,129.220001,128.230881,12962600.0,2021-08-12,AMAT
27,129.130005,130.440002,128.580002,129.899994,128.905655,8812400.0,2021-08-13,AMAT
28,129.429993,132.050003,129.100006,131.690002,130.681946,10412000.0,2021-08-16,AMAT
29,130.050003,130.839996,126.709999,128.800003,127.814087,8208400.0,2021-08-17,AMAT
30,128.809998,131.639999,127.18,127.370003,126.395027,6768800.0,2021-08-18,AMAT
31,126.220001,129.990005,125.279999,129.199997,128.211014,9020200.0,2021-08-19,AMAT
32,130.380005,131.990005,125.25,127.199997,126.226318,13707600.0,2021-08-20,AMAT
33,128.309998,131.5,127.800003,131.490005,130.48349,7710700.0,2021-08-23,AMAT
34,131.800003,133.380005,130.619995,131.440002,130.433884,6356600.0,2021-08-24,AMAT
35,131.539993,134.199997,131.440002,132.820007,132.044418,6735100.0,2021-08-25,AMAT
